Date,Region,Category,Product,Quantity,Price,Discount,Sales,Profit,CustomerAge,Rating
2024-02-13,Central,Home & Kitchen,Vacuum,6,114.21,0.2,548.21,100.93,42.0,5.0
2024-03-29,North,Clothing,Shoes,8,68.04,0.2,435.46,,34.0,3.0
2023-06-20,Central,Sports,Yoga Mat,10,72.94,0.2,583.52,84.14,30.0,3.0
2023-07-10,North,Food & Beverages,Coffee,5,20.75,0.05,98.56,32.67,23.0,4.0
2024-01-18,North,Food & Beverages,Juice,10,15.83,0.05,150.38,20.7,55.0,4.0
2023-05-26,South,Food & Beverages,Juice,12,26.52,0.05,302.33,59.77,36.0,3.0
2024-04-10,Central,Electronics,Laptop,9,713.68,0.15,5459.65,1177.92,,2.0
2023-08-13,West,Sports,Tennis Racket,2,106.34,0.05,202.05,20.22,46.0,1.0
2024-04-23,East,Home & Kitchen,Cookware Set,2,214.08,0.0,428.16,147.16,44.0,3.0
2023-07-23,North,Food & Beverages,Juice,18,21.64,0.05,370.04,32.15,25.0,
2024-02-14,North,Sports,Tennis Racket,12,105.16,0.15,1072.63,212.66,55.0,3.0
2023-04-04,Central,Clothing,Jacket,16,39.82,0.1,573.41,,,2.0
2024-02-27,East,Food & Beverages,Coffee,16,16.01,0.0,256.16,81.4,60.0,4.0
2023-07-31,South,Clothing,Shoes,3,40.68,0.15,103.73,22.02,29.0,1.0
2023-10-31,Central,Electronics,Smartwatch,6,313.27,0.2,1503.7,420.07,56.0,1.0
2024-02-16,East,Electronics,Tablet,12,311.83,0.15,3180.67,361.94,,4.0
2023-06-05,Central,Clothing,Jeans,10,59.5,0.05,565.25,116.88,,4.0
2024-03-18,West,Clothing,T-Shirt,5,30.79,0.2,123.16,37.87,19.0,3.0
2023-04-15,South,Food & Beverages,Juice,14,23.23,0.1,292.7,80.6,55.0,4.0
2023-01-19,South,Clothing,Shoes,8,71.3,0.05,541.88,72.09,,4.0
2024-03-27,South,Home & Kitchen,Vacuum,1,76.68,0.05,72.85,5.34,48.0,4.0
2024-02-29,East,Electronics,Tablet,13,306.97,0.15,3392.02,243.79,37.0,4.0
2024-02-04,West,Food & Beverages,Snacks,6,19.92,0.2,95.62,9.31,45.0,3.0
2024-02-24,South,Home & Kitchen,Blender,9,166.86,0.1,1351.57,445.38,18.0,
2024-03-03,Central,Clothing,Jeans,10,77.85,0.2,622.8,179.59,59.0,4.0
2023-09-08,North,Home & Kitchen,Blender,18,203.74,0.0,3667.32,1162.82,32.0,1.0
2024-02-09,Central,Electronics,Smartphone,13,559.4,0.2,5817.76,525.52,30.0,
2024-02-10,North,Electronics,Smartwatch,4,676.5,0.05,2570.7,540.34,69.0,1.0
2023-10-22,South,Sports,Bicycle,1,133.88,0.1,120.49,25.57,52.0,5.0
2023-08-04,South,Clothing,Jeans,4,45.59,,155.01,50.04,57.0,4.0
2023-01-09,East,Home & Kitchen,Air Fryer,2,88.96,0.05,,17.85,55.0,2.0
2023-06-21,Central,Home & Kitchen,Toaster,14,207.94,0.2,2328.93,727.25,39.0,4.0
2023-04-09,North,Electronics,Smartphone,18,870.14,0.0,15662.52,955.67,40.0,2.0
2023-11-26,Central,Electronics,Tablet,11,890.45,0.0,9794.95,524.15,,5.0
2023-02-24,North,Sports,Tennis Racket,10,64.69,,582.21,147.38,27.0,2.0
2023-07-16,South,Electronics,Smartwatch,1,806.73,0.15,,203.22,29.0,4.0
2023-10-12,West,Sports,Dumbbells,10,65.47,0.05,621.96,149.42,27.0,3.0
2023-08-28,South,Clothing,T-Shirt,5,42.39,0.15,180.16,62.81,49.0,2.0
2023-05-15,North,Sports,Running Shoes,7,65.9,0.1,415.17,40.0,67.0,1.0
2023-04-30,West,Electronics,Laptop,12,464.53,0.15,4738.21,,,4.0
2023-05-30,West,Home & Kitchen,Air Fryer,2,73.87,0.2,,36.56,57.0,5.0
2023-02-27,West,Sports,Running Shoes,14,73.73,0.05,980.61,270.83,44.0,4.0
2024-02-18,East,Clothing,Jacket,5,76.03,0.15,323.13,27.84,47.0,3.0
2023-09-21,South,Electronics,Tablet,6,780.35,0.05,4448.0,916.51,34.0,4.0
2023-04-22,East,Food & Beverages,Juice,14,26.43,0.0,370.02,,25.0,3.0
2024-01-20,North,Food & Beverages,Protein Bar,11,22.38,0.0,246.18,,59.0,5.0
2023-07-13,Central,Food & Beverages,Protein Bar,12,19.81,0.05,225.83,19.08,20.0,5.0
2024-02-03,East,Electronics,Smartwatch,9,756.61,0.05,6469.02,1514.28,20.0,2.0
2023-11-12,North,Food & Beverages,Juice,6,16.37,0.0,98.22,5.17,45.0,4.0
2023-04-28,Central,Sports,Bicycle,13,113.29,0.15,1251.85,272.04,41.0,4.0
2023-09-26,South,Home & Kitchen,Cookware Set,3,75.51,0.05,215.2,,61.0,4.0
2023-10-21,East,Food & Beverages,Snacks,16,21.51,0.2,275.33,90.52,18.0,5.0
2024-02-01,North,Clothing,T-Shirt,16,46.02,,589.06,176.77,28.0,4.0
2023-06-29,North,Electronics,Smartwatch,7,422.99,0.05,2812.88,234.3,23.0,4.0
2024-04-05,North,Home & Kitchen,Blender,1,187.12,0.15,159.05,,35.0,
2023-08-04,South,Clothing,Jeans,4,45.59,,155.01,50.04,57.0,4.0
2023-02-11,East,Clothing,Shoes,12,83.88,0.15,855.58,225.53,20.0,4.0
2023-03-05,North,Home & Kitchen,Toaster,5,85.19,0.05,404.65,20.9,38.0,4.0
2023-02-05,West,Electronics,Laptop,10,699.02,0.15,5941.67,464.38,33.0,3.0
2024-02-26,West,Clothing,Dress,19,59.75,0.15,964.96,222.79,53.0,5.0
2023-12-31,West,Home & Kitchen,Toaster,7,191.36,,1071.62,258.18,37.0,5.0
2023-09-27,South,Sports,Running Shoes,11,136.56,,1427.05,412.95,36.0,5.0
2023-08-22,Central,Food & Beverages,Tea,13,13.38,0.05,165.24,,52.0,5.0
2023-11-13,North,Electronics,Laptop,18,478.27,0.2,6887.09,1566.88,36.0,4.0
2023-07-14,West,Home & Kitchen,Blender,15,139.31,0.15,1776.2,258.72,,3.0
2024-02-19,South,Sports,Tennis Racket,14,86.1,0.2,964.32,254.76,42.0,5.0
2024-03-14,North,Sports,Yoga Mat,3,94.91,,270.49,91.1,42.0,1.0
2023-02-14,North,Home & Kitchen,Cookware Set,4,207.75,,706.35,181.19,59.0,4.0
2023-10-18,South,Food & Beverages,Coffee,19,16.7,0.2,253.84,63.94,54.0,4.0
2023-08-15,Central,Home & Kitchen,Blender,18,78.59,0.2,1131.7,187.82,,4.0
2023-02-09,South,Electronics,Headphones,16,438.64,0.1,6316.42,1287.26,50.0,4.0
2024-01-30,Central,Home & Kitchen,Blender,7,94.84,0.05,630.69,57.87,65.0,2.0
2023-11-23,East,Electronics,Smartwatch,11,657.05,,6504.79,1497.37,68.0,3.0
2023-03-28,South,Food & Beverages,Coffee,15,15.15,0.2,181.8,24.36,28.0,2.0
2024-01-06,East,Clothing,T-Shirt,15,62.22,0.1,839.97,164.36,57.0,3.0
2023-07-02,North,Electronics,Laptop,5,442.91,0.15,1882.37,586.1,38.0,5.0
2024-03-30,North,Electronics,Laptop,11,366.28,0.05,3827.63,332.62,65.0,5.0
2023-03-13,North,Home & Kitchen,Air Fryer,12,149.38,0.1,1613.3,282.86,33.0,4.0
2023-09-04,East,Home & Kitchen,Toaster,1,215.55,0.05,204.77,38.45,49.0,4.0
2023-08-31,West,Food & Beverages,Juice,2,12.98,0.05,24.66,3.79,57.0,3.0
2023-12-15,East,Sports,Running Shoes,3,58.07,0.0,174.21,20.52,25.0,3.0
2023-06-16,West,Electronics,Tablet,10,631.23,0.15,,1818.05,60.0,
2023-04-26,Central,Home & Kitchen,Toaster,12,142.19,0.2,1365.02,356.41,44.0,
2023-04-23,North,Home & Kitchen,Cookware Set,5,163.22,0.0,816.1,187.3,52.0,3.0
2023-12-17,East,Home & Kitchen,Blender,18,97.25,0.0,1750.5,565.22,22.0,5.0
2023-03-22,Central,Food & Beverages,Juice,12,10.49,0.15,107.0,19.3,60.0,4.0
2023-01-04,East,Sports,Yoga Mat,4,113.25,0.2,362.4,51.42,34.0,
2024-03-12,West,Electronics,Laptop,13,430.95,0.05,5322.23,1525.86,64.0,3.0
2023-11-19,East,Sports,Running Shoes,19,130.73,0.05,2359.68,,56.0,5.0
2023-09-24,East,Home & Kitchen,Toaster,16,182.63,0.15,2483.77,438.66,60.0,4.0
2023-11-14,South,Sports,Tennis Racket,12,94.07,0.0,,78.94,37.0,3.0
2023-01-15,West,Home & Kitchen,Cookware Set,17,89.36,0.15,1291.25,298.46,45.0,5.0
2023-06-18,North,Food & Beverages,Snacks,1,18.75,0.2,15.0,4.36,58.0,4.0
2023-09-25,North,Home & Kitchen,Toaster,10,103.71,0.05,,340.11,43.0,2.0
2023-12-27,North,Electronics,Smartwatch,10,635.79,0.15,5404.21,1710.96,,1.0
2023-12-08,East,Food & Beverages,Protein Bar,8,21.54,0.2,,33.14,54.0,4.0
2023-05-05,North,Electronics,Smartwatch,1,457.36,0.05,434.49,145.62,22.0,5.0
2024-04-07,Central,Food & Beverages,Coffee,14,26.01,0.0,364.14,65.29,63.0,3.0
2024-04-16,East,Sports,Yoga Mat,11,63.96,0.0,703.56,126.03,46.0,4.0
2023-03-03,East,Food & Beverages,Juice,1,26.0,0.1,23.4,3.34,50.0,5.0
2023-03-18,East,Home & Kitchen,Air Fryer,9,194.28,,,113.14,200.0,5.0
2023-07-03,West,Clothing,Jacket,9,85.04,0.0,765.36,40.03,61.0,2.0
2024-04-26,East,Sports,Tennis Racket,15,58.23,0.1,,124.64,59.0,3.0
2023-09-18,East,Electronics,Laptop,17,736.91,0.05,11901.1,758.04,55.0,2.0
2023-07-04,East,Sports,Bicycle,1,116.73,0.0,116.73,35.15,37.0,4.0
2023-02-19,South,Food & Beverages,Protein Bar,13,21.46,0.0,278.98,47.18,24.0,5.0
2023-11-28,South,Clothing,Shoes,2,89.88,0.05,170.77,53.3,120.0,3.0
2023-12-09,East,Clothing,Shoes,6,66.0,0.15,336.6,45.21,53.0,4.0
2024-02-02,East,Clothing,Dress,2,33.94,0.2,54.3,10.05,45.0,4.0
2023-05-22,North,Home & Kitchen,Blender,9,139.98,0.05,1196.83,110.82,62.0,1.0
2023-12-06,East,Home & Kitchen,Blender,5,215.59,0.2,862.36,262.24,34.0,5.0
2023-01-17,South,Sports,Running Shoes,1,113.59,0.05,107.91,14.73,39.0,4.0
2023-11-11,West,Home & Kitchen,Cookware Set,8,140.55,0.15,955.74,115.86,41.0,5.0
2023-09-13,North,Clothing,Jacket,3,82.29,0.15,209.84,42.68,55.0,5.0
2023-10-24,North,Electronics,Smartwatch,3,695.35,0.1,1877.45,251.17,54.0,3.0
2023-07-26,North,Food & Beverages,Protein Bar,9,16.63,0.15,127.22,32.92,26.0,4.0
2023-01-31,East,Electronics,Smartphone,13,712.73,0.2,7412.39,2552.06,43.0,4.0
2024-04-20,South,Home & Kitchen,Toaster,10,105.36,0.05,1000.92,261.92,34.0,
2023-03-21,East,Home & Kitchen,Blender,6,167.57,0.1,904.88,184.33,28.0,3.0
2024-05-02,South,Food & Beverages,Tea,11,13.49,0.2,118.71,27.91,18.0,4.0
2023-08-27,East,Sports,Tennis Racket,14,127.7,0.2,1430.24,,63.0,3.0
2023-11-20,East,Electronics,Smartwatch,10,703.14,0.2,,796.48,45.0,3.0
2023-12-09,East,Clothing,Shoes,6,66.0,0.15,336.6,45.21,53.0,4.0
2024-04-20,South,Home & Kitchen,Toaster,10,105.36,0.05,1000.92,261.92,34.0,
2023-11-10,North,Clothing,Shoes,15,81.72,0.2,980.64,330.0,32.0,3.0
2023-05-11,South,Home & Kitchen,Toaster,1,208.58,0.1,187.72,,49.0,4.0
2023-08-06,North,Clothing,T-Shirt,7,42.79,0.2,239.62,71.54,,2.0
2023-10-05,North,Sports,Running Shoes,8,64.93,0.15,441.52,96.22,27.0,5.0
2023-12-07,West,Electronics,Headphones,4,405.92,,1380.13,437.54,28.0,3.0
2023-10-30,Central,Sports,Yoga Mat,3,141.01,0.0,423.03,94.41,24.0,5.0
2023-05-12,South,Electronics,Smartwatch,8,400.22,0.1,2881.58,464.95,29.0,5.0
2023-03-12,North,Clothing,Shoes,15,61.54,0.1,830.79,266.57,28.0,4.0
2024-04-15,West,Electronics,Headphones,13,420.09,0.15,4641.99,431.07,47.0,4.0
2023-11-25,North,Clothing,Jeans,6,67.96,0.0,407.76,127.68,49.0,5.0
2024-04-03,South,Home & Kitchen,Cookware Set,17,120.26,0.1,1839.98,30000.0,59.0,3.0
2024-03-01,Central,Home & Kitchen,Vacuum,3,197.55,0.15,503.75,119.83,34.0,4.0
2023-06-03,West,Sports,Running Shoes,15,94.13,0.05,1341.35,258.79,41.0,5.0
2023-01-08,North,Home & Kitchen,Toaster,4,77.68,0.2,248.58,49.23,39.0,4.0
2023-05-16,East,Home & Kitchen,Vacuum,6,152.59,0.2,732.43,140.18,24.0,4.0
2024-03-23,East,Clothing,Jacket,18,80.33,0.15,1229.05,113.33,48.0,4.0
2023-03-06,West,Clothing,Jacket,11,71.13,0.15,665.07,222.34,38.0,2.0
2023-05-17,North,Clothing,T-Shirt,18,58.89,0.05,1007.02,155.73,,3.0
2024-04-06,North,Electronics,Smartphone,16,347.15,0.1,4998.96,612.77,45.0,2.0
2023-07-25,North,Food & Beverages,Juice,13,11.54,0.0,150.02,8.07,29.0,4.0
2023-04-05,North,Home & Kitchen,Blender,13,188.14,0.1,2201.24,303.87,36.0,
2024-05-11,North,Home & Kitchen,Toaster,13,211.55,0.15,2337.63,355.74,37.0,
2023-01-18,North,Sports,Tennis Racket,14,89.74,0.15,1067.91,364.65,28.0,4.0
2023-05-10,Central,Home & Kitchen,Blender,18,101.54,0.2,1462.18,435.43,47.0,3.0
2024-02-08,North,Home & Kitchen,Blender,8,155.96,0.0,1247.68,,,3.0
2023-11-06,East,Sports,Yoga Mat,8,140.45,,1067.42,307.7,30.0,5.0
2024-05-09,Central,Home & Kitchen,Vacuum,7,190.92,0.15,1135.97,193.72,48.0,3.0
2023-05-19,North,Electronics,Tablet,5,420.31,0.1,1891.4,636.52,56.0,4.0
2023-01-07,Central,Sports,Yoga Mat,10,143.51,0.15,1219.83,174.88,41.0,4.0
2023-03-20,East,Sports,Dumbbells,18,95.89,0.15,1467.12,230.84,40.0,4.0
2023-07-15,West,Food & Beverages,Protein Bar,6,10.79,0.15,55.03,30000.0,49.0,5.0
2023-03-02,North,Clothing,Jeans,19,65.78,0.05,1187.33,151.13,55.0,5.0
2023-05-06,Central,Electronics,Headphones,7,830.27,0.05,,394.85,67.0,5.0
2023-12-20,South,Clothing,Jeans,4,61.06,0.0,244.24,55.14,,4.0
2024-04-04,East,Food & Beverages,Protein Bar,6,23.94,0.1,129.28,29.07,66.0,4.0
2023-05-20,South,Clothing,Jacket,12,56.75,0.2,544.8,166.81,30.0,3.0
2023-06-17,South,Food & Beverages,Coffee,17,11.51,0.0,,27.39,28.0,5.0
2023-02-22,North,Clothing,Dress,10,72.5,,,88.59,27.0,3.0
2023-08-11,South,Sports,Tennis Racket,12,83.84,0.2,804.86,118.74,32.0,3.0
2023-10-25,Central,Home & Kitchen,Toaster,2,182.94,0.15,311.0,34.25,49.0,5.0
2024-02-05,West,Home & Kitchen,Blender,16,165.84,,2520.77,,39.0,4.0
2023-03-11,Central,Sports,Tennis Racket,9,131.8,0.2,948.96,210.3,27.0,2.0
2023-04-21,North,Electronics,Smartwatch,5,810.72,0.2,3242.88,541.06,48.0,5.0
2024-05-10,Central,Clothing,Jeans,4,69.31,0.1,249.52,46.8,27.0,4.0
2023-01-24,North,Home & Kitchen,Air Fryer,16,169.99,0.1,2447.86,136.43,48.0,3.0
2024-04-10,Central,Electronics,Laptop,9,713.68,0.15,5459.65,1177.92,,2.0
2024-03-19,South,Sports,Bicycle,15,50.16,0.0,752.4,40.42,33.0,4.0
2024-03-25,North,Sports,Yoga Mat,12,91.28,0.15,931.06,299.66,,4.0
2023-02-28,East,Electronics,Tablet,16,894.7,,11452.16,2637.69,66.0,5.0
2024-01-07,North,Home & Kitchen,Toaster,7,95.15,0.0,666.05,147.07,51.0,5.0
2023-10-10,North,Clothing,Dress,15,82.65,0.0,1239.75,204.88,40.0,5.0
2023-11-18,East,Clothing,Shoes,1,63.98,0.15,54.38,14.18,40.0,4.0
2023-10-19,West,Electronics,Laptop,7,670.16,0.0,4691.12,998.77,35.0,5.0
2023-11-17,Central,Clothing,T-Shirt,18,63.05,0.15,964.66,,56.0,2.0
2023-04-08,East,Sports,Bicycle,16,132.4,0.15,1800.64,585.19,47.0,4.0
2023-12-13,South,Home & Kitchen,Vacuum,18,82.96,0.1,1343.95,454.71,21.0,3.0
2023-03-31,East,Clothing,Jeans,15,53.06,0.2,636.72,84.44,59.0,2.0
2023-11-07,North,Sports,Running Shoes,3,115.89,,295.52,30000.0,61.0,3.0
2023-08-24,East,Food & Beverages,Coffee,8,20.18,0.0,,44.97,29.0,3.0
2023-08-23,Central,Clothing,Jacket,16,39.06,,624.96,161.09,42.0,4.0
2023-10-23,South,Home & Kitchen,Air Fryer,5,111.46,0.1,501.57,61.12,,4.0
2023-10-10,North,Clothing,Dress,15,82.65,0.0,1239.75,204.88,40.0,5.0
2024-01-28,South,Food & Beverages,Protein Bar,17,10.21,0.2,75000.0,41.45,64.0,5.0
2023-03-17,North,Food & Beverages,Tea,19,21.5,0.1,367.65,85.75,44.0,3.0
2024-05-05,South,Electronics,Headphones,18,742.82,0.15,11365.15,,36.0,3.0
2023-04-11,Central,Clothing,Shoes,8,46.4,,296.96,76.12,56.0,4.0
2023-03-25,South,Electronics,Headphones,10,675.53,0.05,6417.53,475.24,53.0,2.0
2023-04-14,West,Electronics,Laptop,8,833.25,0.0,6666.0,1109.2,63.0,4.0
2023-01-28,Central,Home & Kitchen,Cookware Set,12,181.19,,1956.85,337.12,35.0,4.0
2023-07-18,West,Home & Kitchen,Blender,18,178.21,0.1,2887.0,644.26,62.0,4.0
2023-11-01,West,Home & Kitchen,Blender,9,98.66,0.2,710.35,107.73,42.0,5.0
2023-09-03,South,Food & Beverages,Snacks,1,12.27,0.0,12.27,1.02,30.0,3.0
2023-07-01,South,Electronics,Smartphone,4,348.63,0.2,1115.62,332.47,54.0,
2023-01-21,South,Electronics,Tablet,13,555.71,0.05,,2181.94,66.0,3.0
2024-04-19,North,Electronics,Smartwatch,10,781.71,0.05,7426.24,2337.22,,2.0
2023-10-27,South,Clothing,Dress,19,67.94,0.0,1290.86,137.12,43.0,5.0
2023-12-21,Central,Electronics,Smartwatch,6,749.79,0.1,,1253.83,52.0,4.0
2023-06-12,North,Home & Kitchen,Air Fryer,15,143.3,0.1,1934.55,320.47,35.0,
2023-07-20,North,Sports,Tennis Racket,15,91.33,0.2,1095.96,75.33,54.0,5.0
2023-08-01,East,Sports,Bicycle,19,138.59,0.0,2633.21,368.17,49.0,4.0
2023-10-29,Central,Sports,Yoga Mat,8,50.6,0.0,404.8,,37.0,5.0
2024-01-02,East,Home & Kitchen,Air Fryer,13,107.33,0.0,1395.29,321.72,27.0,
2024-01-27,West,Home & Kitchen,Vacuum,9,149.94,0.15,1147.04,100.3,56.0,2.0
2024-01-21,East,Clothing,Dress,4,86.23,0.0,344.92,65.12,37.0,4.0
2024-05-07,South,Electronics,Smartphone,11,821.08,0.15,7677.1,643.14,62.0,4.0
2023-06-28,North,Electronics,Smartphone,6,818.61,0.05,4666.08,1400.96,55.0,
2024-04-27,North,Electronics,Tablet,17,837.8,0.05,13530.47,2545.18,200.0,5.0
2023-11-02,Central,Clothing,Dress,10,53.55,0.2,50000.0,59.37,30.0,4.0
2024-01-05,West,Electronics,Smartphone,13,686.4,0.05,8477.04,,,5.0
2023-04-23,North,Home & Kitchen,Cookware Set,5,163.22,0.0,816.1,187.3,52.0,3.0
2023-12-10,North,Clothing,T-Shirt,19,32.19,,,59.67,47.0,5.0
2023-04-01,South,Electronics,Smartphone,1,382.13,0.1,343.92,71.0,,4.0
2024-03-24,North,Home & Kitchen,Toaster,18,198.85,,2863.44,524.62,40.0,1.0
2023-11-04,South,Food & Beverages,Protein Bar,11,15.0,0.0,165.0,33.26,30.0,
2024-04-29,Central,Electronics,Laptop,2,671.17,0.0,,206.97,52.0,
2024-01-13,North,Clothing,Jeans,16,51.04,0.05,775.81,207.29,43.0,4.0
2023-01-20,West,Sports,Tennis Racket,11,72.9,0.0,801.9,246.59,50.0,4.0
2023-04-02,West,Electronics,Headphones,10,377.71,0.2,3021.68,179.15,,3.0
2023-02-02,South,Electronics,Tablet,4,537.75,0.2,1720.8,398.77,49.0,1.0
2023-09-19,East,Home & Kitchen,Vacuum,14,117.9,0.0,75000.0,117.69,19.0,5.0
2024-01-15,South,Sports,Tennis Racket,8,103.89,0.05,789.56,107.17,33.0,4.0
2023-05-23,East,Food & Beverages,Coffee,15,13.2,0.15,168.3,,26.0,5.0
2023-06-22,West,Clothing,Dress,1,76.79,0.05,72.95,22.69,59.0,4.0
2023-05-24,East,Electronics,Laptop,13,790.47,0.15,8734.69,2842.47,25.0,5.0
2023-01-12,Central,Food & Beverages,Coffee,3,19.22,0.1,51.89,15.11,19.0,4.0
2023-07-10,North,Food & Beverages,Coffee,5,20.75,0.05,98.56,32.67,23.0,4.0
2023-06-18,North,Food & Beverages,Snacks,1,18.75,0.2,15.0,4.36,58.0,4.0
2023-04-16,North,Electronics,Headphones,8,731.43,,5558.87,1330.75,65.0,4.0
2023-06-26,South,Sports,Running Shoes,1,131.39,0.0,131.39,36.88,31.0,5.0
2023-02-10,North,Sports,Bicycle,2,60.49,0.05,114.93,39.56,65.0,5.0
2023-12-14,West,Home & Kitchen,Vacuum,4,102.23,0.1,368.03,37.59,55.0,5.0
2023-06-27,East,Electronics,Smartwatch,6,734.86,0.15,3747.79,700.35,30.0,5.0
2023-09-14,South,Electronics,Laptop,14,362.47,0.2,,243.4,18.0,4.0
2023-03-10,West,Clothing,Shoes,7,53.83,0.15,320.29,80.46,67.0,4.0
2023-01-01,East,Clothing,Dress,16,67.45,0.15,917.32,267.37,37.0,3.0
2023-02-17,East,Food & Beverages,Juice,2,11.46,,19.48,2.25,22.0,4.0
2023-12-30,East,Clothing,Jacket,17,34.94,0.1,534.58,,31.0,5.0
2024-01-29,North,Clothing,Jeans,8,53.86,0.2,344.7,46.06,45.0,3.0
2024-04-18,East,Clothing,Jacket,4,59.37,0.2,189.98,,32.0,
2024-01-01,Central,Food & Beverages,Coffee,17,17.65,0.0,300.05,45.64,55.0,3.0
2023-07-27,South,Sports,Tennis Racket,10,81.61,0.1,734.49,179.03,61.0,5.0
2023-08-16,North,Electronics,Smartphone,7,523.61,0.05,3482.01,1172.66,53.0,
2023-04-19,East,Electronics,Headphones,3,756.62,0.1,2042.87,586.62,32.0,3.0
2023-09-15,North,Clothing,Shoes,12,79.48,0.0,953.76,91.79,40.0,2.0
2023-06-16,West,Electronics,Tablet,10,631.23,0.15,,1818.05,60.0,
2024-03-06,East,Electronics,Laptop,19,478.41,0.2,7271.83,2343.59,37.0,1.0
2023-03-01,West,Food & Beverages,Coffee,2,12.21,0.15,20.76,5.11,,
2024-02-17,North,Home & Kitchen,Blender,8,105.11,0.0,840.88,212.78,62.0,3.0
2023-04-12,Central,Food & Beverages,Snacks,1,21.2,0.2,16.96,3.6,19.0,4.0
2023-04-24,East,Food & Beverages,Juice,14,20.09,0.1,253.13,84.17,28.0,4.0
2024-04-13,Central,Sports,Yoga Mat,12,54.47,0.05,620.96,100.97,30.0,4.0
2023-09-05,Central,Electronics,Smartphone,14,352.72,0.1,4444.27,1055.23,,4.0
2023-05-28,North,Home & Kitchen,Cookware Set,8,213.82,0.2,1368.45,472.19,40.0,1.0
2024-03-16,East,Clothing,Dress,3,38.55,0.1,104.08,24.05,62.0,3.0
2023-08-12,Central,Clothing,T-Shirt,7,71.76,0.0,502.32,57.95,32.0,4.0
2023-03-23,South,Clothing,Shoes,9,47.67,0.05,407.58,57.64,44.0,2.0
2023-07-24,South,Sports,Yoga Mat,14,56.58,0.0,,235.04,32.0,3.0
2023-11-08,East,Home & Kitchen,Toaster,18,155.6,0.15,2380.68,641.47,34.0,4.0
2023-12-28,Central,Food & Beverages,Snacks,16,13.9,,222.4,29.85,35.0,4.0
2023-10-16,West,Electronics,Smartwatch,19,571.33,0.0,10855.27,3414.83,19.0,5.0
2023-01-08,North,Home & Kitchen,Toaster,4,77.68,0.2,248.58,49.23,39.0,4.0
2024-01-12,Central,Clothing,Jacket,17,46.14,,784.38,157.02,62.0,2.0
2023-11-29,West,Sports,Running Shoes,11,69.17,0.15,646.74,99.44,51.0,3.0
2023-06-24,West,Home & Kitchen,Air Fryer,5,163.95,0.05,778.76,226.88,55.0,5.0
